,english_word,hindi_word,polarity
93,best-performing,best-performing,positive
94,best-selling,best-selling,positive
95,better,बेहतर,positive
96,better-known,better-known,positive
97,better-than-expected,better-than-expected,positive
98,bless,आशीर्वाद,positive
99,blessing,आशीर्वाद,positive
100,bliss,आनंद,positive
101,blossom,खिलना,positive
102,bolster,ग्लोबस,positive
103,bonus,बोनस,positive
104,bonuses,बोनस,positive
105,boom,बूम,positive
106,booming,रहा,positive
107,boost,को,positive
108,brainy,जानिए,positive
109,brand-new,brand-new,positive
110,brave,बहादुर,positive
111,bravo,ब्रावो,positive
112,breathtaking,लुभावनी,positive
113,breeze,मंद,positive
114,bright,चमकीले,positive
115,brighten,चमकाने,positive
116,brilliance,ब्रिलिएंस,positive
117,brilliant,चमकदार,positive
118,brisk,तेज़ी,positive
119,brotherly,भाई,positive
120,calm,शांति,positive
121,capability,क्षमता,positive
122,capable,योग्य,positive
123,captivating,मनोरम,positive
124,carefree,तनावमुक्त,positive
125,celebrate,का,positive
126,celebrated,मनाया,positive
127,celebration,जश्न,positive
128,champ,विजेता,positive
129,champion,चैंपियन,positive
130,charisma,आकर्षण,positive
131,charismatic,करिश्माई,positive
132,charitable,धर्मार्थ,positive
133,charm,आकर्षण,positive
134,charming,आकर्षक,positive
135,cheaper,सस्ता,positive
136,cheapest,सस्ता,positive
137,cheer,खुश,positive
138,cheerful,खूबसूरत,positive
139,chic,फैशनेबल,positive
140,clarity,स्पष्टता,positive
141,classic,क्लासिक,positive
142,classy,सर्वोत्कृष्ट,positive
143,clean,साफ,positive
144,cleaner,क्लीनर,positive
145,cleanliness,स्वच्छता,positive
146,clear,स्पष्ट,positive
147,clear-cut,clear-cut,positive
148,cleared,मिट,positive
149,clearly,स्पष्ट,positive
150,clever,चालाक,positive
151,colorful,रंगीन,positive
152,comfort,आराम,positive
153,comfortable,आरामदायक,positive
154,comfortably,आराम,positive
155,comfy,आरामदायक,positive
156,commitment,वचनबद्धता,positive
157,compact,कॉम्पैक्ट,positive
158,compassion,करुणा,positive
159,compassionate,दयावान,positive
160,compatible,अनुकूल,positive
161,competitive,प्रतिस्पर्धी,positive
162,complement,पूरक,positive
163,complementary,पूरक,positive
164,complements,पूरक,positive
165,compliant,अनुरूप,positive
166,compliment,प्रशंसा,positive
167,complimentary,निशुल्क,positive
168,comprehensive,व्यापक,positive
169,concise,संक्षिप्त,positive
170,confidence,आत्मविश्वास,positive
171,congratulation,बधाई,positive
172,congratulations,बधाई,positive
173,consistent,संगत,positive
174,consistently,लगातार,positive
175,constructive,रचनात्मक,positive
176,continuity,कंटीन्यूटी,positive
177,contribution,योगदान,positive
178,convenience,सुविधा,positive
179,convenient,सुविधाजनक,positive
180,convincing,ठोस,positive
181,cool,कूल,positive
182,coolest,ठंडा,positive
183,cooperative,अधिक,positive
184,cornerstone,आधारशिला,positive
185,correct,सही,positive
186,correctly,सही,positive
187,cost-effective,cost-effective,positive
188,cost-saving,cost-saving,positive
189,courage,साहस,positive
190,courageous,साहसी,positive
191,courteous,विनम्र,positive
192,covenant,प्रण,positive
193,cozy,आरामदायक,positive
194,creative,रचनात्मक,positive
195,credible,प्रामाणिक,positive
196,crisp,कड़क,positive
197,cure,इलाज,positive
198,cure-all,cure-all,positive
199,cute,प्यारा,positive
200,daring,साहसी,positive
201,darling,डार्लिंग,positive
202,dawn,सूर्योदय,positive
203,dazzle,चमक,positive
204,dazzling,चमकदार,positive
205,dead-on,dead-on,positive
206,decent,सभ्य,positive
207,decisive,निर्णायक,positive
208,dedicated,समर्पित,positive
209,defeat,सबसे,positive
210,defeated,जानवर,positive
211,defeating,को,positive
212,delicate,कोमलता,positive
213,delicious,स्वादिष्ट,positive
214,delight,डिलाईट,positive
215,dependable,विश्वसनीय,positive
216,desirable,वांछनीय,positive
217,desiring,की,positive
218,destiny,भाग्य,positive
219,dignity,इज्जत,positive
220,dirt-cheap,dirt-cheap,positive
221,distinguished,प्रतिष्ठित,positive
222,divine,डीवाइन,positive
223,dominated,छाई,positive
224,dummy-proof,dummy-proof,positive
225,durable,टिकाऊ,positive
226,dynamic,गतिशील,positive
227,eager,उत्सुक,positive
228,eagerly,बेसब्री,positive
229,ease,सरलता,positive
230,easier,इतना,positive
231,easiest,सबसे,positive
232,easing,बैंक,positive
233,easy,आसान,positive
234,easy-to-use,easy-to-use,positive
235,economical,किफायती,positive
236,educated,शिक्षित,positive
237,effective,प्रभावी,positive
238,effectively,से,positive
239,effectiveness,प्रभावशीलता,positive
240,efficient,कुशल,positive
241,efficiently,इनके,positive
242,effusion,बहाव,positive
243,elan,जोश,positive
244,elegance,भव्यता,positive
245,elegant,सुंदर,positive
246,elevate,भा,positive
247,elite,इलीट,positive
248,eminent,प्रख्यात,positive
249,empower,को,positive
250,empowerment,अधिकारिता,positive
251,enchanting,करामाती,positive
252,encourage,प्रोत्साहित,positive
253,encouragement,प्रोत्साहित,positive
254,encouraging,उत्साहजनक,positive
255,endorse,समर्थन,positive
256,endorsed,समर्थित,positive
257,endorsement,परांकन,positive
258,energy-efficient,energy-efficient,positive
259,energy-saving,energy-saving,positive
260,engaging,आकर्षक,positive
261,enhance,को,positive
262,enhanced,संवर्धित,positive
263,enhancement,वृद्धि,positive
264,enhances,रंग,positive
265,enjoy,का,positive
266,enjoyable,आनंददायक,positive
267,enjoyed,मज़ा,positive
268,enjoying,का,positive
269,enjoyment,गुल,positive
270,enlightenment,आत्मज्ञान,positive
271,enough,पर्याप्त,positive
272,enrich,वाले,positive
273,entertain,मनोरंजन,positive
274,entertaining,मनोरंजक,positive
275,enthusiast,उत्साही,positive
276,enthusiastic,उत्साही,positive
277,entice,प्रलोभन,positive
278,enticing,की,positive
279,envious,सम्मोहक,positive
280,envy,ईर्ष्या,positive
281,ethical,नैतिक,positive
282,everlasting,सदाबहार,positive
283,exceed,पार,positive
284,exceeded,पार,positive
285,exceeding,से,positive
286,exceeds,से,positive
287,excel,एक्सेल,positive
288,excellence,श्रेष्ठता,positive
289,excellent,उत्कृष्ट,positive
290,excellently,विशेष,positive
291,exceptional,असाधारण,positive
292,exceptionally,विशि‍ष्ट,positive
293,excited,उत्तेजित,positive
294,excitement,रोमांच,positive
295,exciting,रोमांचक,positive
296,exquisite,उत्कृष्ट,positive
297,extraordinary,असाधारण,positive
298,eye-catching,मनमोहक,positive
299,fabulous,शानदार,positive
300,fair,मेला,positive
301,fairly,काफी,positive
302,fairness,निष्पक्षता,positive
303,faith,विश्वास,positive
304,faithful,वफादार,positive
305,faithfully,विश्वासपात्र,positive
306,fame,फेम,positive
307,famous,प्रसिद्ध,positive
308,fancier,अधिक,positive
309,fancy,फैंसी,positive
310,fans,प्रशंसकों,positive
311,fantastic,शानदार,positive
312,fascinate,मोहित,positive
313,fascinating,दिलचस्प,positive
314,fashionable,फैशनेबल,positive
315,fast,तेज,positive
316,fast-paced,fast-paced,positive
317,faster,तेज,positive
318,fastest,तेज,positive
319,fav,मनपसंद,positive
320,fave,पक्ष,positive
321,favor,अहसान,positive
322,favorable,अनुकूल,positive
323,favorite,पसंदीदा,positive
324,favour,पक्ष,positive
325,fearless,दंबगों,positive
326,feat,फीट,positive
327,feature-rich,feature-rich,positive
328,feisty,साहसी,positive
329,fertile,फ़र्टाइल,positive
330,festive,जलवा,positive
331,fidelity,निष्ठा,positive
332,fiery,तेजस्वी,positive
333,fine,ठीक,positive
334,finely,से,positive
335,finer,बेहतर,positive
336,finest,बेहतरीन,positive
337,first-class,first-class,positive
338,first-rate,first-rate,positive
339,flattering,प्रशंसनीय,positive
340,flawless,फ्लॉलेस,positive
341,flexibility,लचीलेपन,positive
342,flexible,लचीला,positive
343,fluent,निपुण,positive
344,flutter,स्पंदन,positive
345,fond,शौकीन,positive
346,foremost,महत्वपूर्ण,positive
347,fortunate,भाग्यशाली,positive
348,fortunately,सौभाग्य,positive
349,fortune,भाग्य,positive
350,free,नि,positive
351,freedom,स्वतंत्रता,positive
352,fresh,ताजा,positive
353,friendly,अनुकूल,positive
354,fulfillment,पूर्ति,positive
355,fun,मजेदार,positive
356,futuristic,भविष्यउन्मुखी,positive
357,gain,बढ़ना,positive
358,gained,कर,positive
359,gains,मजबूत,positive
360,galore,प्रचुर,positive
361,gem,रत्न,positive
362,gems,रत्न,positive
363,generous,उदार,positive
364,genius,प्रतिभा,positive
365,gentle,जेंटल,positive
366,genuine,असली,positive
367,gifted,प्रतिभाशाली,positive
368,glad,खुशी,positive
369,glamorous,आपके,positive
370,glitter,चमकीली,positive
371,glitz,तड़क,positive
372,glorify,को,positive
373,glory,ग्लोरी,positive
374,glow,चमक,positive
375,glowing,चमकना,positive
376,god-send,god-send,positive
377,godsend,का,positive
378,gold,सोना,positive
379,golden,गोल्डन,positive
380,good,अच्छा,positive
381,goodness,अच्छाई,positive
382,gorgeous,खूबसूरत,positive
383,grace,ग्रेस,positive
384,graceful,गरीमामय,positive
385,gracious,विनीत,positive
386,grand,ग्रैंड,positive
387,grateful,आभारी,positive
388,gratifying,संतुष्टिदायक,positive
389,gratitude,नम,positive
390,great,महान,positive
391,greatest,महान,positive
392,greatness,महानता,positive
393,grin,मुसकुराहट,positive
394,groundbreaking,अभूतपूर्व,positive
395,guarantee,गारंटी,positive
396,guidance,मार्गदर्शन,positive
397,gusto,जोश,positive
398,hail,जय,positive
399,hallmark,प्रमाण,positive
400,hands-down,hands-down,positive
401,handsome,सुंदर,positive
402,handy,सुलभ,positive
403,happier,खुश,positive
404,happily,खुशी,positive
405,happiness,खुशी,positive
406,happy,खुश,positive
407,hard-working,hard-working,positive
408,hardy,पीछे,positive
409,harmless,हानिरहित,positive
410,harmony,मेल,positive
411,heal,चंगा,positive
412,healthy,स्वस्थ,positive
413,heartwarming,दिली,positive
414,heaven,स्वर्ग,positive
415,heavenly,अलौकिक,positive
416,helped,कुछ,positive
417,helpful,सहायक,positive
418,helping,मदद,positive
419,hero,हीरो,positive
420,heroine,हीरोइन,positive
421,high-quality,high-quality,positive
422,hilarious,प्रफुल्लित,positive
423,holy,पवित्र,positive
424,homage,जलसा,positive
425,honest,ईमानदार,positive
426,honesty,ईमानदारी,positive
427,honor,सम्मान,positive
428,honorable,सम्मानित,positive
429,honored,सम्मानित,positive
430,hooray,हुर्रे,positive
431,hopeful,अच्छा,positive
432,hot,गर्म,positive
433,hottest,हॉटैस्ट,positive
434,hug,आलिंगन,positive
435,humane,मानव,positive
436,humble,विनम्र,positive
437,humor,हास्य,positive
438,ideal,आदर्श,positive
439,ideally,आदर्श,positive
440,idol,आइडल,positive
441,imaginative,इमेजनेटिव,positive
442,immaculate,त्रुटिहीन,positive
443,immense,विशाल,positive
444,important,महत्वपूर्ण,positive
445,impress,प्रभावित,positive
446,impressed,प्रभावित,positive
447,impressive,प्रभावशील,positive
448,improve,में,positive
449,improved,सुधार,positive
450,improvement,सुधार,positive
451,improvements,सुधार,positive
452,improves,शारीरिक,positive
453,incredible,अविश्वसनीय,positive
454,incredibly,अविश्वसनीय,positive
455,inexpensive,सस्ती,positive
456,infallible,अचूक,positive
457,influential,प्रभावशाली,positive
458,innovation,नवाचार,positive
459,innovative,नवीन,positive
460,insightful,पुरे,positive
461,inspiration,प्रेरणा,positive
462,inspirational,प्रेरणादायक,positive
463,inspire,प्रेरित,positive
464,inspiring,प्रेरक,positive
465,instantly,तुरन्त,positive
466,integral,एकीकृत,positive
467,integrated,एकीकृत,positive
468,intelligence,बुद्धि,positive
469,intelligent,बुद्धिमान,positive
470,interesting,दिलचस्प,positive
471,interests,हितों,positive
472,intimacy,अंतरंगता,positive
473,intimate,इंटीमेट,positive
474,intricate,बारीक,positive
475,intriguing,पेचीदा,positive
476,intuitive,मज़ेदार,positive
477,invincible,अजेय,positive
478,irresistible,प्रबल,positive
479,issue-free,issue-free,positive
480,jaw-dropping,jaw-dropping,positive
481,jolly,जॉली,positive
482,joy,आनन्द,positive
483,keen,उतावला,positive
484,kid-friendly,kid-friendly,positive
485,kindly,कृपया,positive
486,kindness,दया,positive
487,knowledgeable,ज्ञान,positive
488,kudos,तारीफ,positive
489,large-capacity,large-capacity,positive
490,law-abiding,law-abiding,positive
491,lawful,विधिमान्य,positive
492,lead,नेतृत्व,positive
493,leading,प्रमुख,positive
494,leads,आगे,positive
495,lean,दुबला,positive
496,led,श्रेष्ठ,positive
497,legendary,पौराणिक,positive
498,leverage,लाभ,positive
499,liberate,पाप,positive
500,liberty,लिबर्टी,positive
501,lighter,हल्का,positive
502,like,की,positive
503,liked,पसंद,positive
504,likes,पसंद,positive
505,liking,पसंद,positive
506,lively,जीवंत,positive
507,logical,तार्किक,positive
508,long-lasting,long-lasting,positive
509,love,प्यार,positive
510,loved,प्यार,positive
511,lovely,प्यारा,positive
512,lover,प्रेमी,positive
513,loves,प्यार,positive
514,loving,प्यार,positive
515,low-cost,low-cost,positive
516,low-price,low-price,positive
517,low-priced,low-priced,positive
518,low-risk,low-risk,positive
519,lower-priced,lower-priced,positive
520,loyal,वफादार,positive
521,loyalty,वफादारी,positive
522,lucid,स्पष्ट,positive
523,luck,भाग्य,positive
524,lucky,भाग्यशाली,positive
525,luminous,चमकदार,positive
526,lush,रसीला,positive
527,luster,आभा,positive
528,luxury,लग्ज़री,positive
529,magic,जादू,positive
530,magical,जादुई,positive
531,magnificent,शानदार,positive
532,majestic,आलीशान,positive
533,marvel,अचंभा,positive
534,marvellous,अद्भुत,positive
535,marvelous,लजीज,positive
536,master,मास्टर,positive
537,masterpiece,मास्टरपीस,positive
538,masters,स्वामी,positive
539,mature,परिपक्व,positive
540,maturity,परिपक्वता,positive
541,memorable,यादगार,positive
542,merciful,दयालु,positive
543,mercy,दया,positive
544,merit,शिक्षक,positive
545,merry,मैरी,positive
546,mesmerizing,मन,positive
547,meticulous,सूक्ष्म,positive
548,mighty,पराक्रमी,positive
549,mind-blowing,जो,positive
550,miracle,चमत्कार,positive
551,miracles,चमत्कारों,positive
552,miraculous,तिलस्मी,positive
553,modern,आधुनिक,positive
554,modesty,इस,positive
555,monumental,यादगार,positive
556,morality,नैतिकता,positive
557,motivated,प्रेरित,positive
558,multi-purpose,multi-purpose,positive
559,neat,साफ,positive
560,neatly,अच्छे,positive
561,nice,अच्छा,positive
562,nicely,अच्छी,positive
563,noble,नोबल,positive
564,non-violent,non-violent,positive
565,noteworthy,उल्लेखनीय,positive
566,oasis,ओएसिस,positive
567,obsession,जूनून,positive
568,openly,का,positive
569,optimal,इष्टतम,positive
570,optimism,आशावाद,positive
571,optimistic,आशावादी,positive
572,orderly,व्यवस्थित,positive
573,outdone,ने,positive
574,outperform,सोकर,positive
575,outstanding,बकाया,positive
576,ovation,ओवेशन,positive
577,pain-free,pain-free,positive
578,painless,दर्दरहित,positive
579,paradise,स्वर्ग,positive
580,pardon,माफी,positive
581,passion,जुनून,positive
582,passionate,जुनूनी,positive
583,patience,धैर्य,positive
584,patient,रोगी,positive
585,patriot,देशभक्ति,positive
586,peace,शांति,positive
587,peaceful,शांतिपूर्ण,positive
588,peach,आड़ू,positive
589,pep,उत्साहवर्धक,positive
590,peppy,जोशीले,positive
591,perfect,सही,positive
592,perfection,से,positive
593,perfectly,सही,positive
594,personalized,निजीकृत,positive
595,phenomenal,अद्भुत,positive
596,piety,पुण्यशीलता,positive
597,playful,चंचल,positive
598,pleasant,सुखद,positive
599,pleasantly,सुख,positive
600,pleased,खुश,positive
601,pleasure,खुशी,positive
602,plush,हमेशा,positive
603,poise,संतुलन,positive
604,polished,पॉलिश्ड,positive
605,polite,विनम्र,positive
606,popular,लोकप्रिय,positive
607,portable,पोर्टेबल,positive
608,posh,बढि़या,positive
609,positive,सकारात्मक,positive
610,positively,सकारात्मक,positive
611,powerful,शक्तिशाली,positive
612,praise,आरती,positive
613,precious,कीमती,positive
614,precise,सटीक,positive
615,precisely,ठीक,positive
616,prefer,क्या,positive
617,preferable,बेहतर,positive
618,prefers,हम,positive
619,premier,प्रीमियर,positive
620,prestigious,प्रतिष्ठित,positive
621,pretty,सुंदर,positive
622,priceless,अमूल्य,positive
623,pride,गर्व,positive
624,privilege,सौभाग्य,positive
625,prize,पुरस्कार,positive
626,problem-free,problem-free,positive
627,productive,उत्पादक,positive
628,proficient,कुशल,positive
629,profoundly,पूरी,positive
630,progress,प्रगति,positive
631,progressive,प्रगतिशील,positive
632,prominent,प्रमुख,positive
633,promise,वादा,positive
634,promised,वादा,positive
635,promises,वादे,positive
636,promoter,प्रमोटर,positive
637,prompt,त्वरित,positive
638,promptly,तुरंत,positive
639,proper,उचित,positive
640,properly,सही,positive
641,pros,प्रॉस,positive
642,prosper,समृद्ध,positive
643,prosperity,समृद्धि,positive
644,prosperous,खुशहाल,positive
645,protect,रक्षा,positive
646,protection,सुरक्षा,positive
647,protective,सुरक्षात्मक,positive
648,proud,गर्व,positive
649,proven,सिद्ध,positive
650,proves,साबित,positive
651,punctual,पाबंदी,positive
652,pure,शुद्ध,positive
653,qualified,सुयोग्य,positive
654,qualify,अर्हता,positive
655,quiet,शांत,positive
656,radiance,लाता,positive
657,radiant,चमकीला,positive
658,rapid,तेज,positive
659,rational,तर्कसंगत,positive
660,razor-sharp,razor-sharp,positive
661,readable,पठनीय,positive
662,readily,आसानी,positive
663,ready,तैयार,positive
664,realistic,वास्तविक,positive
665,reasonable,उचित,positive
666,reasonably,उचित,positive
667,reclaim,प्राप्ति,positive
668,recomend,सुझाव,positive
669,recommend,सिफारिश,positive
670,recommendation,सिफारिश,positive
671,recommendations,सुझाव,positive
672,recommended,अनुशंसित,positive
673,reconcile,सामंजस्य,positive
674,reconciliation,सुलह,positive
675,recover,लगे,positive
676,recovery,रिकवरी,positive
677,rectify,सुधारने,positive
678,rectifying,का,positive
679,redeem,रीडीम,positive
680,redemption,मुक्ति,positive
681,refine,परिष्कृत,positive
682,reform,सुधार,positive
683,reforms,सुधार,positive
684,refresh,ताजा,positive
685,refreshed,रिफ्रेश,positive
686,refreshing,ताज़ी,positive
687,refund,वापसी,positive
688,refunded,वापिस,positive
689,regal,राजसी,positive
690,regard,संबंध,positive
691,rejuvenated,जोशपूर्ण,positive
692,relaxed,आराम,positive
693,reliable,विश्वसनीय,positive
694,relief,राहत,positive
695,remarkable,उल्लेखनीय,positive
696,remedy,उपाय,positive
697,renaissance,अ,positive
698,renowned,प्रसिद्ध,positive
699,replaceable,बदले,positive
700,reputation,प्रतिष्ठा,positive
701,respect,सम्मान,positive
702,respectful,सम्मानित,positive
703,responsibly,जिम्मेदारी,positive
704,responsive,जवाबदेह,positive
705,restored,सुधारा,positive
706,restructuring,पुनर्गठन,positive
707,revel,आनंद,positive
708,revelation,रहस्योद्घाटन,positive
709,revival,पुनरुद्धार,positive
710,revive,पुनर्जीवित,positive
711,revolutionary,क्रांतिकारी,positive
712,reward,इनाम,positive
713,rewarding,पुण्यमय,positive
714,rich,अमीर,positive
715,richness,होंगी,positive
716,right,सही,positive
717,righteousness,लक्ष्य,positive
718,rightfully,सही,positive
719,risk-free,risk-free,positive
720,robust,मजबूत,positive
721,rockstar,रॉकस्टार,positive
722,romantic,रोमांटिक,positive
723,safe,सुरक्षित,positive
724,safely,सुरक्षित,positive
725,saint,संत,positive
726,salute,सलाम,positive
727,sane,मत,positive
728,satisfactory,संतोषजनक,positive
729,satisfied,संतुष्ट,positive
730,satisfies,अपनी,positive
731,satisfying,संतोषजनक,positive
732,saver,सेवर,positive
733,savings,बचत,positive
734,savior,उद्धारकर्ता,positive
735,savvy,आज,positive
736,scenic,सुंदर,positive
737,seamless,अखंड,positive
738,secure,सुरक्षित,positive
739,securely,सुरक्षित,positive
740,selective,चयनात्मक,positive
741,self-sufficiency,self-sufficiency,positive
742,self-sufficient,self-sufficient,positive
743,sensation,सनसनी,positive
744,sensational,सनसनीखेज,positive
745,sensible,समझदार,positive
746,sensitive,संवेदनशील,positive
747,sexy,सेक्सी,positive
748,sharp,कोना,positive
749,sharper,के,positive
750,shine,चमक,positive
751,shiny,चमकीले,positive
752,significant,महत्वपूर्ण,positive
753,silent,मौन,positive
754,simpler,सरल,positive
755,simplest,सरल,positive
756,simplified,सरलीकृत,positive
757,simplifies,को,positive
758,sincere,हार्दिक,positive
759,sincerely,दिल,positive
760,skill,कौशल,positive
761,skilled,कुशल,positive
762,sleek,संकरे,positive
763,slick,स्लिक,positive
764,smart,स्मार्ट,positive
765,smarter,ज्यादा,positive
766,smartly,सुंदर,positive
767,smile,मुस्कुराओ,positive
768,smiles,मुस्कराती,positive
769,smiling,मुस्कुराते,positive
770,smooth,चिकना,positive
771,smoothly,सुचारु,positive
772,soft,नरम,positive
773,solace,सोलेस,positive
774,solid,ठोस,positive
775,soothe,को,positive
776,sophisticated,सोफिस्टिकेटिड,positive
777,spacious,बहुत,positive
778,sparkle,द्वारा,positive
779,sparkling,स्पार्कलिंग,positive
780,spectacular,शानदार,positive
781,speedy,तेज,positive
782,spiritual,आध्यात्मिक,positive
783,spontaneous,सहज,positive
784,sporty,स्पोरटी,positive
785,stability,स्थिरता,positive
786,stabilize,स्थिर,positive
787,stable,स्थिर,positive
788,stainless,स्टेनलेस,positive
789,state-of-the-art,state-of-the-art,positive
790,stately,आलीशान,positive
791,steadfast,स्टेडफास्ट,positive
792,steady,स्थिर,positive
793,stellar,तारकीय,positive
794,striking,आकर्षक,positive
795,striving,प्रयास,positive
796,strong,मजबूत,positive
797,stronger,मजबूत,positive
798,strongest,सबसे,positive
799,stunned,दंग,positive
800,stunning,आश्चर्यजनक,positive
801,stunningly,के,positive
802,sturdy,मज़बूत,positive
803,stylish,स्टाइलिश,positive
804,suave,वाले,positive
805,sublime,का,positive
806,succeed,सफल,positive
807,succeeded,सफल,positive
808,succes,सफलता,positive
809,success,सफलता,positive
810,successful,सफल,positive
811,successfully,सफलतापूर्वक,positive
812,sufficient,पर्याप्त,positive
813,sufficiently,पर्याप्त,positive
814,suitable,उपयुक्त,positive
815,super,सुपर,positive
816,superb,शानदार,positive
817,superior,बेहतर,positive
818,supple,नाजुक,positive
819,support,समर्थन,positive
820,supported,समर्थित,positive
821,supporter,सपोर्टर,positive
822,supporting,समर्थन,positive
823,supportive,सहयोगी,positive
824,supports,का,positive
825,supremacy,वर्चस्व,positive
826,supreme,सर्वोच्च,positive
827,survival,बचना,positive
828,survivor,उत्तरजीवी,positive
829,sustainability,स्थिरता,positive
830,sustainable,सतत,positive
831,swanky,शानदार,positive
832,sweeping,को,positive
833,sweet,मीठा,positive
834,sweetheart,मेरे,positive
835,sweetness,मिठास,positive
836,swift,स्विफ्ट,positive
837,talent,प्रतिभा,positive
838,talented,प्रतिभाशाली,positive
839,talents,प्रतिभा,positive
840,tender,टेंडर,positive
841,terrific,बहुत,positive
842,thank,धन्यवाद,positive
843,thankful,कृतज्ञ,positive
844,thoughtful,वैचारिक,positive
845,thoughtfulness,सावधानी,positive
846,thrift,किफायती,positive
847,thrill,रोमांच,positive
848,thrilled,रोमांचित,positive
849,thriving,फलते,positive
850,thumbs-up,thumbs-up,positive
851,tickle,गुदगुदी,positive
852,tidy,सुव्यवस्थित,positive
853,time-honored,time-honored,positive
854,timely,समय,positive
855,toll-free,toll-free,positive
856,top,शीर्ष,positive
857,top-notch,top-notch,positive
858,top-quality,top-quality,positive
859,tops,अव्वल,positive
860,tough,कड़ी,positive
861,traction,घर्षण,positive
862,transparent,पारदर्शी,positive
863,treasure,खजाना,positive
864,trendy,ट्रेंडी,positive
865,triumph,ट्राइंफ,positive
866,trophy,ट्रॉफी,positive
867,trouble-free,trouble-free,positive
868,trust,पर,positive
869,trusted,विश्वसनीय,positive
870,trustworthy,भरोसेमंद,positive
871,truthfully,सच,positive
872,ultra-crisp,ultra-crisp,positive
873,unabashed,आवरणरहति,positive
874,unbeatable,अद्वितीय,positive
875,uncomplicated,सरल,positive
876,unforgettable,अविस्मरणीय,positive
877,unity,एकता,positive
878,unlimited,असीमित,positive
879,unquestionably,मोहरा,positive
880,upgraded,अपग्रेडेड,positive
881,uplift,बनी,positive
882,uplifting,प्रेरक,positive
883,usable,प्रयोग,positive
884,useful,उपयोगी,positive
885,user-friendly,user-friendly,positive
886,user-replaceable,user-replaceable,positive
887,valuable,कीमती,positive
888,variety,किस्म,positive
889,versatile,चलन,positive
890,vibrant,जीवंत,positive
891,victory,जीत,positive
892,viewable,देख,positive
893,virtue,गुण,positive
894,virtuous,गुणी,positive
895,vivid,विशद,positive
896,warm,गर्म,positive
897,warmer,गर्म,positive
898,warmth,गर्माहट,positive
899,wealthy,धनी,positive
900,welcome,आपका,positive
901,well,अच्छी,positive
902,well-balanced,well-balanced,positive
903,well-behaved,well-behaved,positive
904,well-being,भलाई,positive
905,well-established,well-established,positive
906,well-informed,well-informed,positive
907,well-intentioned,well-intentioned,positive
908,well-known,well-known,positive
909,well-made,well-made,positive
910,well-mannered,well-mannered,positive
